primary_breed,count,share_of_licensed_dogs
"Spaniel, American Water",2,0.01%
"Spaniel, Irish Water",2,0.01%
Alapaha Blue Blood Bulldog,2,0.01%
Norwegian Buhund,2,0.01%
"Terrier, Skye",2,0.01%
Mudi,2,0.01%
Caucasian Mountain Dog,2,0.01%
Finnish Spitz,2,0.01%
Swedish Vallhund,2,0.01%
Bergamasco,2,0.01%
Appenzeller Sennenhunde,2,0.01%
Podenco Canario,1,0.00%
Peruvian Inca Orchid,1,0.00%
Otterhound,1,0.00%
"Spaniel, Clumber",1,0.00%
Swedish Elkhound,1,0.00%
Argentine Dogo,1,0.00%
Ainu,1,0.00%
Finnish Lapphund,1,0.00%
Biewer Terrier,1,0.00%
"Spaniel, Boykin",1,0.00%
"Terrier, Brazilian",1,0.00%
Dogue de Bordeaux,1,0.00%
"Munsterlander,Small",1,0.00%
Pumi,1,0.00%
Polish Lowland Sheepdog,1,0.00%
Akbash,1,0.00%
Saarloos Wolfdog,1,0.00%
"Spaniel, English Toy",1,0.00%
Kuvasz,1,0.00%
Tibetan Mastiff,1,0.00%
Chinese Foo,1,0.00%
Lapponian Herder,1,0.00%
Poong-San Dog,1,0.00%
Dutch Smoushond,1,0.00%
Bouvier des Ardennes,1,0.00%
Perro de Presa Canario,1,0.00%
Alano Espanol,1,0.00%
Carpathian Shepherd Dog,1,0.00%
"Terrier, Dandie Dinmont",1,0.00%
Canadian Eskimo,1,0.00%
