park,complaints_2024_26,citations_2024_26,complaint_citation_ratio,latitude,longitude,provenance
PINEHURST POCKET PARK,1,0,,47.71418,-122.308206,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
OCCIDENTAL SQUARE,1,0,,47.600217,-122.333048,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
DR. JOSE RIZAL PARK,1,0,,47.592676,-122.318437,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
KOBE TERRACE,0,1,0.0,47.600414,-122.32448,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
VAN ASSELT PLAYGROUND,0,1,0.0,47.539442,-122.294051,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
JIM ELLIS FREEWAY PARK,1,0,,47.609466,-122.330888,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
FAUNTLEROY FERRY TERMINAL,1,0,,47.523409,-122.393635,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
WEBSTER PARK,1,0,,47.677669,-122.397506,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
BALLARD CORNERS PARK,1,0,,47.674181,-122.379102,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
SPRING STREET MINI PARK,1,0,,47.611796,-122.312386,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
MOUNT BAKER PARK,1,0,,47.582477,-122.288253,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
OBSERVATORY COURTS,0,1,0.0,47.631382,-122.355254,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
VIEWLAND/HOFFMAN ELECTRICAL SUBSTATION OPEN SPACE,1,0,,47.707439,-122.350255,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
SCHMITZ PRESERVE PARK,0,1,0.0,47.574372,-122.400409,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
VIRGIL FLAIM PARK,1,0,,47.717951,-122.29936,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
PARSONS GARDENS,1,0,,47.629862,-122.366067,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
SOLSTICE PARK,0,1,0.0,47.536408,-122.390332,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
PRENTIS I. FRAZIER PARK,1,0,,47.622889,-122.3016,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
BALLARD COMMONS PARK,1,0,,47.670543,-122.385471,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
NORTH TRANSFER STATION,1,0,,47.648948,-122.339037,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
BEER SHEVA PARK,1,0,,47.524312,-122.26373,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
MONTLAKE LID TRAIL,1,0,,47.64481,-122.30067,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
MAGNOLIA MANOR PARK,1,0,,47.651364,-122.391239,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
UNIVERSITY OF WASHINGTON SPORTS FIELDS,1,0,,47.65724,-122.297773,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
JOHN HAY ELEMENTARY SCHOOL,1,0,,47.632672,-122.351873,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
HARBORVIEW PARK,1,0,,47.603812,-122.325514,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
WEST SEATTLE STADIUM,1,0,,47.562816,-122.374333,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
ALICE BALL PARK,1,0,,47.688026,-122.354937,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
ELLA BAILEY PARK,1,0,,47.640579,-122.391043,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
OLYMPIC SCULPTURE PARK,1,0,,47.616475,-122.35528,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
MAPLE WOOD PLAYFIELD,1,0,,47.560039,-122.318834,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
ADAMS PARK,1,0,,47.56504,-122.294452,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
SOUTH PARK PLAYGROUND,1,0,,47.528011,-122.324145,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
SW BRACE PT DR,1,0,,47.520138,-122.39513,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
SOUNDVIEW TERRACE,1,0,,47.640844,-122.371394,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
DAKOTA PLACE PARK,1,0,,47.566906,-122.387151,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
TERRY PETTUS PARK,1,0,,47.636733,-122.329287,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
GEMENSKAP PARK,1,0,,47.672351,-122.373501,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
HUBBARD HOMESTEAD PARK,0,1,0.0,47.710042,-122.32464,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
MEADOWBROOK POND,1,0,,47.706859,-122.289454,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
TROLLEY HILL PARK,0,1,0.0,47.635136,-122.347023,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
LEWIS PARK,1,0,,47.592868,-122.314379,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
PEPPIS PLAYGROUND,1,0,,47.602718,-122.290586,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
CHRISTIE PARK,1,0,,47.659234,-122.319057,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
RAVENNA PARK TRIANGLE,1,0,,47.668164,-122.303518,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
WOODLAND PARK ZOO PLAYGROUND,1,0,,47.671089,-122.353481,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
WARD SPRINGS PARK,1,0,,47.627742,-122.34923,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
CHIEF SEALTH TRAIL,1,0,,47.542203,-122.290372,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
CORMORANT COVE,1,0,,47.570959,-122.411163,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
DRAGONFLY PAVILION AND GARDEN,1,0,,47.566795,-122.367587,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
PRITCHARD ISLAND BEACH,1,0,,47.528554,-122.263025,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
COLMAN PARK,1,0,,47.586511,-122.289887,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
COUNTERBALANCE PARK,1,0,,47.625676,-122.356309,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
LITTLE BROOK PARK,1,0,,47.73138,-122.294552,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
