park,complaints_2024_26,citations_2024_26,complaint_citation_ratio,latitude,longitude,provenance
LAKEWOOD PLAYGROUND,21,1,21.0,47.558824,-122.270046,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
GREENWOOD PARK,20,2,10.0,47.693042,-122.350597,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
VIEW RIDGE PLAYFIELD,7,13,0.54,47.680355,-122.281058,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
ROSS PLAYGROUND,12,7,1.71,47.659713,-122.361332,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
T.T. MINOR PLAYGROUND,18,1,18.0,47.613501,-122.31037,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
LICTON SPRINGS PARK,10,8,1.25,47.698537,-122.33872,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
WASHINGTON PARK AND ARBORETUM,13,5,2.6,47.63715,-122.294893,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
RAVENNA PARK,9,9,1.0,47.671412,-122.305675,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
MERIDIAN PLAYGROUND,6,10,0.6,47.664153,-122.332544,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
KINNEAR PARK,16,0,,47.62727,-122.367071,"calculated: complaints PRR C263990 (point-in-polygon vs ParkServe) vs DLP citations PRR C263949 (park-named), 2024-2026; scripts/compare_complaints_citations.py"
