park,year,dlp_only,citations
621 W Galer Street 208,2015,True,1
6229 Wilson Avenue S,2014,True,1
6252 31st Avenue NE,2014,True,1
631 NW 85th Street,2014,True,2
6327 Wilson Avenue S,2015,True,1
6334 Seward Park Avenue S,2015,True,1
6375 Radford Drive 4023,2015,True,1
6413 9th Avenue NW,2014,True,1
6425 SW Admiral Way,2017,True,1
6516 7th Avenue NW,2015,True,1
6535 Ravenna Avenue NE,2017,True,1
6536 3rd Avenue NW,2015,True,1
6540 Holly Terrace S,2014,True,1
6545 Holly Terrace S,2014,True,1
655 W Crockett Street,2015,True,1
6550 Holly Terrace S,2014,True,1
6553 42nd Avenue SW 3,2014,True,1
6612 57th Avenue S,2018,True,1
6625 NE Windermere Street,2014,True,1
6732 13th Avenue NW,2015,True,1
6742 21st Avenue NW,2015,True,1
6743 Cleopatra Place NW,2014,True,1
6813 27th Avenue NE,2015,True,1
6900 57th Avenue NE,2014,True,1
6900 E Green Lake Way N,2014,True,1
6913 Carleton Avenue S,2014,True,1
6915 51st Avenue S,2014,True,1
6920 34th Avenue SW,2018,True,2
7002 23rd Avenue NW,2015,True,2
7020 16th Avenue NE,2014,True,1
7020 18th Avenue SW F-13,2014,True,1
7028 43rd Avenue NE,2014,True,1
7028 9th Avenue NW,2017,True,1
7047 50th Avenue NE,2016,True,7
7120 Woodlawn Avenue NE N207,2015,True,1
7133 34th Avenue SW,2015,True,1
714 SW Austin Street,2014,True,1
7148 31st Avenue SW,2015,True,1
7157 32nd Avenue SW,2015,True,1
7201 E Green Lake Drive N,2016,True,10
7201 Green Lake Park,2017,True,3
7215 SE 32nd Street,2015,True,1
723 N 62nd Street,2015,True,1
7241 28th Avenue NE,2015,True,1
725 N 95th Street C,2014,True,1
73 Dean Road,2014,True,1
7309 Sand Point Way 832,2015,True,1
7341 24th Avenue NE,2014,True,1
7400 Sand Point Way NE,2017,True,4
7400 Sand Point Way NE,2018,True,1
7400 Sand Point Way NE,2019,True,2
7400 Sandpoint Way NE,2017,True,7
7502 17th Avenue NW,2015,True,1
7531 34th Avenue NW,2016,True,2
7538 Brooklyn Avenue NE,2015,True,1
77 S Washington Street,2015,True,1
7709 15th Avenue SW,2015,True,1
7711 43rd Avenue NE,2019,False,3
7712 40th Avenue NE,2018,True,2
7769 12th Avenue SW,2015,True,1
7861 62nd Avenue NE,2017,True,4
7901 Delridge Way SW 10E,2014,True,1
7901 Delridge Way SW 40H,2015,True,1
7910 29th Avenue NW,2014,True,1
7911 15th Avenue SW,2015,True,1
7929 12th Avenue SW,2015,True,1
7937 10th Avenue SW,2015,True,1
8 W Crockett Street 306,2015,True,1
8 W Crockett Street 314,2015,True,1
8040 Stroud Avenue N,2015,True,1
8137 31st Avenue SW,2014,True,2
8214 SE 72nd Street,2014,True,1
8307 Dibble Avenue NW,2015,True,1
8316 11th Avenue NW,2015,True,1
832 SW 97th Street,2015,True,1
8325 30th Avenue NW,2014,True,1
8400 NE Paulanna Lane,2014,True,1
8402 30th Avenue SW,2018,True,1
8409 Heathside Drive NE,2014,True,1
8439 7th Avenue SW,2014,True,1
8458 Tillicum Road SW,2015,True,1
8498 Seaview Place NW,2017,True,3
8498 Seaview Place NW,2018,True,1
853 Lake Washington Boulevard,2016,True,5
8614 32nd Avenue SW,2015,True,2
8631 Fauntleroy Way SW,2015,True,1
8658 10TH Avenue SW,2015,True,1
8700 Fauntleroy Way SW,2016,True,1
8728 Hamlet Avenue S,2015,True,1
8802 rainier Avenue S,2015,True,1
8815 Rainier Avenue S,2016,True,1
8826 Interlake Avenue N,2015,True,1
8827 Ravenna Avenue NE,2014,True,1
8948 Seaview Place NW,2018,True,1
899 W Olympic Place,2019,True,8
900 N 103rd Street,2015,True,1
9000 8th Avenue SW,2016,True,3
9000 8th Avenue SW,2018,True,3
9013 8th Avenue SW,2014,True,2
9026 Burke Avenue N,2014,True,1
903 N 130th Street 201,2014,True,1
903 N 130th Street 304,2014,True,1
9032 18th Avenue SW,2014,True,1
9037 37th Avenue S,2014,True,2
9052 3rd Avenue NW,2015,True,1
9055 2nd Avenue NW,2015,True,1
906 1st Avenue W 15,2015,True,1
